play_name,act,character,anger,disgust,fear,neutral,sadness,joy,surprise
A Midsummer Night's Dream,1,Bottom,0,0.0,0.0,1,0.0,,
A Midsummer Night's Dream,1,Demetrius,1,0.0,0.0,0,0.0,,
A Midsummer Night's Dream,2,Demetrius,1,0.0,1.0,0,0.0,,
A Midsummer Night's Dream,2,Puck,1,1.0,0.0,0,0.0,,
A Midsummer Night's Dream,3,Bottom,0,0.0,1.0,0,0.0,,
A Midsummer Night's Dream,3,Demetrius,0,0.0,0.0,0,1.0,,
A Midsummer Night's Dream,3,Puck,0,0.0,2.0,0,0.0,,
A Midsummer Night's Dream,4,Bottom,1,0.0,0.0,1,0.0,,
A Midsummer Night's Dream,4,Demetrius,1,0.0,0.0,0,0.0,,
A Midsummer Night's Dream,4,Puck,0,0.0,1.0,0,0.0,,
A Midsummer Night's Dream,5,Bottom,0,0.0,0.0,1,0.0,,
A Midsummer Night's Dream,5,Demetrius,0,1.0,0.0,0,0.0,,
A Midsummer Night's Dream,5,Puck,0,0.0,0.0,0,1.0,,
All's Well That Ends Well,1,Bertram,0,0.0,0.0,0,1.0,1.0,
All's Well That Ends Well,1,Helena,1,0.0,0.0,0,1.0,0.0,
All's Well That Ends Well,1,Parolles,1,0.0,0.0,0,0.0,0.0,
All's Well That Ends Well,2,Bertram,1,1.0,0.0,1,0.0,0.0,
All's Well That Ends Well,2,Helena,0,0.0,1.0,2,1.0,0.0,
All's Well That Ends Well,2,Parolles,2,2.0,0.0,0,0.0,0.0,
All's Well That Ends Well,3,Bertram,1,0.0,1.0,0,0.0,0.0,
All's Well That Ends Well,3,Helena,0,0.0,1.0,2,0.0,0.0,
All's Well That Ends Well,3,Parolles,0,0.0,0.0,1,1.0,0.0,
All's Well That Ends Well,4,Bertram,1,0.0,0.0,0,1.0,0.0,
All's Well That Ends Well,4,Helena,0,0.0,0.0,1,0.0,0.0,
All's Well That Ends Well,4,Parolles,0,0.0,1.0,1,0.0,0.0,
All's Well That Ends Well,5,Bertram,0,1.0,0.0,0,0.0,0.0,
