play_name,act,character,anger,disgust,fear,joy,neutral,sadness,surprise
Antony and Cleopatra,1,Cleopatra,1,0.0,0,0.0,0,3,0.0
Antony and Cleopatra,1,Mark Antony,2,0.0,1,0.0,0,0,0.0
Antony and Cleopatra,1,Octavius Caesar,0,1.0,0,0.0,0,0,0.0
Antony and Cleopatra,2,Cleopatra,1,0.0,0,0.0,0,0,0.0
Antony and Cleopatra,2,Mark Antony,0,0.0,1,0.0,2,1,0.0
Antony and Cleopatra,2,Octavius Caesar,1,0.0,0,1.0,2,0,0.0
Antony and Cleopatra,3,Cleopatra,2,1.0,1,0.0,0,0,0.0
Antony and Cleopatra,3,Mark Antony,3,0.0,0,1.0,1,1,0.0
Antony and Cleopatra,3,Octavius Caesar,2,0.0,0,1.0,0,1,0.0
Antony and Cleopatra,4,Cleopatra,2,0.0,1,1.0,0,1,1.0
Antony and Cleopatra,4,Mark Antony,4,0.0,0,1.0,2,2,0.0
Antony and Cleopatra,4,Octavius Caesar,2,0.0,0,0.0,1,0,0.0
Antony and Cleopatra,5,Cleopatra,0,0.0,0,0.0,0,1,0.0
Antony and Cleopatra,5,Octavius Caesar,0,0.0,0,0.0,0,2,0.0
Coriolanus,1,Cominius,1,,1,0.0,1,0,
Coriolanus,1,Coriolanus,1,,0,0.0,0,0,
Coriolanus,1,Menenius,1,,0,0.0,0,0,
Coriolanus,2,Cominius,2,,0,0.0,0,0,
Coriolanus,2,Coriolanus,2,,1,0.0,0,0,
Coriolanus,2,Menenius,1,,0,1.0,1,0,
Coriolanus,3,Cominius,2,,0,1.0,0,0,
Coriolanus,3,Coriolanus,1,,1,0.0,0,1,
Coriolanus,3,Menenius,2,,0,0.0,1,0,
Coriolanus,4,Cominius,0,,1,0.0,0,1,
Coriolanus,4,Coriolanus,1,,0,0.0,1,1,
Coriolanus,4,Menenius,2,,0,0.0,0,1,
Coriolanus,5,Cominius,1,,0,0.0,0,0,
Coriolanus,5,Coriolanus,3,,0,0.0,0,0,
Coriolanus,5,Menenius,2,,0,0.0,1,0,
Hamlet,1,Hamlet,1,0.0,1,0.0,0,1,
Hamlet,1,King Claudius,0,0.0,0,0.0,0,1,
Hamlet,1,Queen Gertrude,0,0.0,1,0.0,0,0,
Hamlet,2,Hamlet,0,1.0,0,0.0,0,0,
Hamlet,2,King Claudius,0,0.0,0,0.0,1,0,
Hamlet,2,Queen Gertrude,0,0.0,0,0.0,0,1,
Hamlet,3,Hamlet,1,0.0,2,0.0,1,0,
Hamlet,3,King Claudius,1,0.0,1,0.0,0,1,
Hamlet,3,Queen Gertrude,1,1.0,0,1.0,0,0,
Hamlet,4,Hamlet,1,2.0,0,0.0,0,0,
Hamlet,4,King Claudius,3,0.0,1,0.0,0,0,
Hamlet,4,Queen Gertrude,0,1.0,1,1.0,0,0,
Hamlet,5,Hamlet,0,1.0,1,0.0,0,0,
Hamlet,5,King Claudius,0,0.0,1,0.0,1,0,
Hamlet,5,Queen Gertrude,0,1.0,0,0.0,1,0,
Julius Caesar,1,Antony,0,0.0,1,,0,0,
Julius Caesar,1,Brutus,0,0.0,0,,0,1,
Julius Caesar,1,Cassius,0,0.0,2,,0,0,
Julius Caesar,2,Antony,0,0.0,0,,1,0,
Julius Caesar,2,Brutus,0,0.0,1,,0,1,
Julius Caesar,2,Cassius,0,0.0,1,,0,0,
Julius Caesar,3,Antony,0,0.0,1,,0,1,
Julius Caesar,3,Brutus,0,0.0,0,,0,2,
Julius Caesar,3,Cassius,0,0.0,1,,0,0,
Julius Caesar,4,Antony,0,1.0,0,,0,0,
Julius Caesar,4,Brutus,1,0.0,1,,0,0,
Julius Caesar,4,Cassius,2,0.0,0,,0,0,
Julius Caesar,5,Antony,1,1.0,0,,1,0,
